TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer
144,2016,1405.9784932850762,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
171,2016,1617.0647766539482,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
144,2016,1686.8159793828436,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
163,2016,342.03493568449164,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
144,2016,1379.6324182566782,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
144,2016,1428.9260890819046,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
163,2016,293.71926810170396,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
165,2016,938.083292813258,Chai Wan,22.2644,114.2368,0,False,Close (500-1000m),False,True,True
190,2016,1845.2915344477494,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
183,2016,1116.1231360166848,Ocean Park,22.2486,114.1743,0,False,Moderate (1-2km),False,True,True
163,2016,174.38741969812028,Chai Wan,22.2644,114.2368,0,False,Very Close (<500m),True,True,True
171,2016,1860.1815308647917,Kennedy Town,22.2812,114.1285,0,False,Moderate (1-2km),False,False,True
190,2016,1856.0148499138436,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
931,2016,4832.636994653059,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
962,2016,6029.842671095538,Tung Chung,22.2893,113.9416,0,False,Far (>2km),False,False,False
834,2016,10939.272252713428,LOHAS Park,22.2957,114.2689,0,False,Far (>2km),False,False,False
834,2016,10921.285667726846,LOHAS Park,22.2957,114.2689,0,False,Far (>2km),False,False,False
184,2016,1814.4663375004054,Causeway Bay,22.2802,114.1835,0,False,Moderate (1-2km),False,False,True
