TPU_ID,YEAR,nearest_mtr_distance,nearest_mtr_station,nearest_mtr_lat,nearest_mtr_lon,mtr_stations_count,has_mtr_station,mtr_proximity_category,within_500m_buffer,within_1000m_buffer,within_2000m_buffer,year
542,2001,1510.3699671973386,Kwu Tung,22.50752,114.09962,0,False,Moderate (1-2km),False,True,True,2001
622,2001,150.0978771015596,Kwu Tung,22.50752,114.09962,0,False,Very Close (<500m),True,True,True,2001
653,2001,8141.238313241241,Wu Kai Sha,22.4291,114.2438,0,False,Far (>2km),False,False,False,2001
622,2001,486.6400211650963,Kwu Tung,22.50752,114.09962,0,False,Very Close (<500m),True,True,True,2001
634,2001,2263.6819347516307,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,True,2001
626,2001,894.235231683888,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True,2001
624,2001,778.6781511067912,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True,2001
542,2001,1343.716779765642,Lok Ma Chau,22.5144,114.0657,0,False,Moderate (1-2km),False,True,True,2001
622,2001,215.77297227103276,Kwu Tung,22.50752,114.09962,1,True,Very Close (<500m),True,True,True,2001
625,2001,1531.2990823269793,Fanling,22.4921,114.1387,0,False,Moderate (1-2km),False,False,True,2001
624,2001,613.4280851939799,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True,2001
543,2001,2382.6278243259017,Kwu Tung,22.50752,114.09962,0,False,Far (>2km),False,False,True,2001
624,2001,739.4338216496764,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True,2001
621,2001,1767.837871831778,Kwu Tung,22.50752,114.09962,0,False,Moderate (1-2km),False,True,True,2001
625,2001,1417.45270825748,Fanling,22.4921,114.1387,0,False,Moderate (1-2km),False,False,True,2001
624,2001,443.8695409728197,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,77.92148755269245,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
625,2001,1027.3269553623538,Fanling,22.4921,114.1387,0,False,Moderate (1-2km),False,True,True,2001
626,2001,838.1763678935065,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True,2001
621,2001,1636.2502956352796,Kwu Tung,22.50752,114.09962,0,False,Moderate (1-2km),False,False,True,2001
625,2001,1243.673900325887,Fanling,22.4921,114.1387,0,False,Moderate (1-2km),False,False,True,2001
626,2001,221.4398502171468,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
625,2001,1140.5545062937626,Fanling,22.4921,114.1387,0,False,Moderate (1-2km),False,False,True,2001
621,2001,1621.4258925823822,Sheung Shui,22.5012,114.128,0,False,Moderate (1-2km),False,True,True,2001
634,2001,1538.8240418330165,Fanling,22.4921,114.1387,0,False,Moderate (1-2km),False,False,True,2001
634,2001,2676.3201237375724,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
622,2001,281.48373610020786,Kwu Tung,22.50752,114.09962,0,False,Very Close (<500m),True,True,True,2001
626,2001,922.150864018196,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True,2001
622,2001,518.0790300477958,Kwu Tung,22.50752,114.09962,0,False,Close (500-1000m),True,True,True,2001
624,2001,521.6166289911951,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True,2001
634,2001,2582.9982173825697,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,True,2001
634,2001,1749.7345864643676,Fanling,22.4921,114.1387,0,False,Moderate (1-2km),False,False,True,2001
624,2001,751.7445950600444,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True,2001
624,2001,439.908367331331,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,937.4995967599876,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True,2001
634,2001,2379.7482667792888,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,True,2001
624,2001,465.7374419245939,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,485.6130176382749,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,564.8675752036334,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),True,True,True,2001
626,2001,925.982076254549,Sheung Shui,22.5012,114.128,0,False,Close (500-1000m),False,True,True,2001
624,2001,402.4888078159592,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,441.5709666413586,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,361.8863430444389,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
624,2001,364.351142181008,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
634,2001,4960.3499924860025,Fanling,22.4921,114.1387,0,False,Far (>2km),False,False,False,2001
542,2001,1515.666052891606,Lok Ma Chau,22.5144,114.0657,0,False,Moderate (1-2km),False,False,True,2001
634,2001,1611.6559690936128,Fanling,22.4921,114.1387,0,False,Moderate (1-2km),False,False,True,2001
624,2001,410.3811669861037,Sheung Shui,22.5012,114.128,0,False,Very Close (<500m),True,True,True,2001
