小規劃統計區－大合併組,小規劃統計區－大合併組（英文名稱),小規劃統計區－大合併組（中文名稱),總人口,男性,女性,性別比率（即男性數目與每千名女性相對的比率）,15歲以下,15至24歲,25至44歲,45至64歲,65歲及以上,男女合計,男性.1,女性.1,香港,中國內地／澳門／台灣,其他地方,華人,菲律賓人,印尼人,白人,其他(1),從未結婚,已婚,喪偶,離婚,分居,從未結婚.1,已婚.1,喪偶.1,離婚.1,分居.1,廣州話,普通話,其他中國方言,英語,其他語言,能閱讀中文的5歲及以上人口比例,能閱讀英文的5歲及以上人口比例,能書寫中文的5歲及以上人口比例,能書寫英文的5歲及以上人口比例,未受教育／學前教育,小學,初中,高中,專上教育：文憑／證書,專上教育：副學位課程,專上教育：學位課程,同區就讀(3),跨區就讀（上課地點為香港島）,跨區就讀（上課地點為九龍）,跨區就讀（上課地點為新市鎮）,跨區就讀（上課地點為新界其他地區）,勞動人口,男性.2,女性.2,男女合計.1,男性.3,女性.3,工作人口,僱員（包括外發工）,僱主,自營作業者,無酬家庭從業員,非工作人口,料理家務者,學生,退休人士,無酬照顧者(6),其他,同區工作(7),跨區工作（工作地點為香港島）,跨區工作（工作地點為九龍）,跨區工作（工作地點為新市鎮）,跨區工作（工作地點為新界其他地區）,無固定地點／水上,於家中工作,香港以外地方工作,"少於 6,000","6,000 - 9,999","10,000 - 19,999","20,000 - 29,999","30,000 - 39,999","40,000 - 59,999","60,000 及以上",男女合計.2,男性.4,女性.4,"少於 6,000.1","6,000 - 9,999.1","10,000 - 19,999.1","20,000 - 29,999.1","30,000 - 39,999.1","40,000 - 59,999.1","60,000 及以上.1",男女合計.3,男性.5,女性.5,經理,專業人員,輔助專業人員,文書支援人員,服務及銷售人員,工藝及有關人員,機台及機器操作員及裝配員,非技術工人,漁農業熟練工人及不能分類的職業,製造業,建造業,進出口、批發及零售業,運輸、倉庫、郵政及速遞服務業,住宿及膳食服務業,資訊及通訊業,金融及保險業,地產、專業及商用服務業,公共行政、教育、人類醫療保健及社工活動,雜項社會及個人服務,其他(10),少於 18,18-34,35-44,45-54,55-64,65 及以上,家庭住戶數目,1,2,3,4,5,6 及以上,家庭住戶平均人數,由夫婦所組成(11),由夫婦及未婚子女所組成(12),由父或母親及未婚子女所組成(13),由夫婦及其中至少一個父或母親所組成(14),由夫婦、其中至少一個父或母親及其未婚子女所組成(15),由其他親屬關係組合所組成(16),單人住戶(17),非親屬關係住戶(18),"少於 6,000.2","6,000 - 9,999.2","10,000 - 19,999.2","20,000 - 29,999.2","30,000 - 39,999.2","40,000 - 59,999.2","60,000 及以上.2",家庭住戶每月收入（港元）中位數,"少於 6,000.3","6,000 - 9,999.3","10,000 - 19,999.3","20,000 - 29,999.3","30,000 - 39,999.3","40,000 - 59,999.3","60,000 及以上.3",從事經濟活動的家庭住戶(19)每月收入中位數（港元）,公營租住房屋,資助自置居所房屋,私人永久性房屋,非住宅用房屋,臨時房屋,公營租住房屋.1,資助自置居所房屋.1,私人永久性房屋.1,非住宅用房屋.1,臨時房屋.1,公營租住房屋.2,資助自置居所房屋.2,私人永久性房屋.2,非住宅用房屋.2,臨時房屋.2,1.1,2.1,3.1,4.1,5.1,6及以上,沒有自用廳房,自置，有按揭供款或借貸還款,自置，沒有按揭供款及借貸還款,全租,合租／二房東／三房客,免交租金,由僱主提供,由非住戶成員支付,"1 - 3,999","4,000 - 5,999","6,000 - 7,999","8,000 - 9,999","10,000 - 19,999.4","20,000 及以上",家庭住戶每月按揭供款及借貸還款（港元）中位數,家庭住戶每月按揭供款及借貸還款與收入比率中位數,"少於 2,000(20)","2,000 - 5,999","6,000 - 9,999.4","10,000 及以上",家庭住戶每月租金（港元）中位數,家庭住戶每月租金與收入比率中位數,家庭住戶的居所樓面面積中位數（平方米）(21),香港島,九龍,新市鎮,新界其他地區／水上,曾在同區遷居,仍居舊址(23),居於香港以外地方
732L,"732, 751 and 753","732, 751 及 753",59769,26329,33440,787,8038,5629,18255,19053,8794,42.9,43.6,42.6,39391,13118,7260,53031,3156,1690,450,1442,5873,15310,235,723,72,7183,18609,1601,1987,138,48564,2362,1236,4543,848,89.1,83.2,87.6,81.3,1061,3403,6781,14788,3321,2291,20086,5759,487,2513,1798,136,32177,14907,17270,62.2,67.1,58.5,30361,26635,1387,2178,161,29408,3137,10673,9180,1426,4992,4504,4643,7059,3835,822,3369,5553,576,5867,1263,6860,4667,2834,3496,5213,20000,28000,15500,1095,1183,6860,4667,2834,3496,5213,25000,28000,22500,4508,5581,5500,3531,3383,1025,742,6061,30,1129,1689,4051,1490,1179,1063,2625,4096,7356,5540,143,2153,2541,11016,9526,3087,2038,20024,3284,5304,5226,3695,1696,819,2.9,4361,7834,1870,416,579,1277,3284,403,2211,1254,2983,2353,1300,2597,7326,39270,522,410,2385,2048,1215,2474,7023,51510,3873,759,14950,813,226,3849,759,14972,218,226,9891,1792,46029,1514,543,1138,1951,7004,4018,2731,3180,2,5088,6161,6722,72,746,1235,784,77,105,353,352,1621,1796,16000,22.5,2537,2418,330,2744,3260,17.6,50,1704,4911,7317,1054,6570,31382,4628
741L,741 - 744 and 757,741 - 744 及 757,219248,101285,117963,859,23976,17240,63487,75563,38982,46.4,46.4,46.4,149815,53814,15619,205391,5004,4619,1344,2890,26049,58717,1690,2327,218,26912,64629,7874,6334,522,194897,3441,4103,8191,1997,92.7,75.2,90.9,72.7,5881,24360,29802,56344,12698,10959,55228,11453,1785,5910,12131,630,119767,59628,60139,61.3,67,56.6,113645,101703,3628,8016,298,105603,11584,30996,40861,4051,18111,5463,15521,29957,27974,3724,17396,11414,2196,15155,5670,33168,22523,13368,12124,11339,20000,22100,16500,5729,5436,33168,22523,13368,12124,11339,20710,22100,20000,13053,15749,24501,16277,16196,6087,4797,16775,210,4354,8806,17451,9182,5987,4420,8177,16712,24457,13276,823,7605,8975,40783,38267,11774,6241,75317,10897,21379,19754,14839,6167,2281,2.9,14716,29783,7452,937,3279,6930,10897,1323,6409,5227,9891,9916,9288,14083,20503,35720,1447,1202,7087,9035,8757,13761,20235,43630,9836,30080,35547,175,13,9801,29989,35424,90,13,28270,84752,105481,693,52,2433,5955,30353,21075,11466,4035,-,20014,34917,18294,94,1804,194,2064,1304,1553,2060,1780,7242,4011,12500,20,3166,6996,548,7872,3520,18.2,48,2176,4920,11999,1120,12233,172539,7659
755,755,755,87222,40424,46798,864,10813,5915,25345,24912,20237,46.2,45.4,47,52725,31245,3252,84107,701,1001,87,1326,10593,21313,844,1779,412,9997,22090,4992,4210,179,78763,1734,2498,892,842,94.8,63.8,92.3,60.4,3433,14397,16043,22459,3616,3687,12774,9250,390,1663,1860,136,42642,22315,20327,55.8,63.9,49,38887,35827,446,2578,36,48335,4799,13192,18363,2484,9497,6468,5107,9007,6186,1653,8064,2040,362,4156,3384,16897,8354,2826,2101,1133,16000,18000,14080,2568,3378,16897,8354,2826,2101,1133,16150,18000,15000,1770,3197,7049,5621,9228,2815,2255,6865,87,1632,4312,5692,4123,3761,1401,1854,6262,6215,3392,243,2448,3751,11936,13691,4293,2768,33713,7647,10428,8401,4671,1977,589,2.5,5310,10251,5139,233,1045,3686,7647,402,4404,4299,7853,6000,3927,4108,3122,20110,1016,1205,6368,5910,3845,4057,3066,26190,21362,4432,7862,207,4,21355,4432,7837,85,4,54036,11940,20154,1084,8,6325,9655,13119,3691,771,150,2,2718,7565,23104,-,292,34,260,313,209,359,255,1183,139,10000,19.9,9363,12069,368,1338,2040,13,30,1320,5163,7955,1349,5851,59927,3260
756L,756 and 761 - 762,756 及 761 - 762,106465,49111,57354,856,14215,7733,31674,34157,18686,44.8,44.8,44.8,74050,25500,6915,100093,2225,2266,189,1692,11094,27843,990,1454,256,12780,30738,3873,2981,241,95026,1747,1579,3527,923,92.8,77.6,90.6,75.1,3126,9208,14238,28605,5503,5324,26246,10985,878,3044,2686,225,56905,28389,28516,61.7,68.2,56.3,54202,49442,1318,3387,55,52263,5324,17650,17921,2231,9137,7962,8775,14394,7189,1849,7436,5520,1077,7203,3025,14367,11595,6771,6376,4810,20000,22810,17000,2744,2927,14359,11595,6771,6376,4810,21250,22810,20000,5821,7614,11847,7762,8115,2744,2042,8178,79,1957,4278,7383,4208,2878,2441,3752,7910,12343,6738,314,3577,4118,20797,17375,5196,3139,37538,6811,10621,8993,7239,2978,896,2.8,7007,14635,3333,512,1362,3059,6811,819,3965,2740,5307,4758,4217,6525,10026,34040,799,686,3998,4513,3990,6416,9904,42360,5653,11666,20094,317,3,5642,11634,20081,178,3,14892,34338,55652,1577,6,1819,4225,14804,11934,3826,930,-,10010,15960,9677,19,931,941,980,759,1066,1190,938,3825,1252,11000,18.3,3443,3238,352,3604,3170,18.5,42,1534,4328,7076,1188,9541,75526,3669
758,758,758,47474,21775,25699,847,4686,3801,13053,14954,10980,48,47.2,48.3,28376,16879,2219,45400,587,779,16,692,6354,11255,620,889,61,6890,12073,2872,1652,122,43263,671,1361,680,433,93.1,64.9,90.6,61.4,2153,7128,8344,12579,2536,2096,7952,4551,251,1036,827,18,24657,12066,12591,57.6,62.9,53.3,22789,20682,549,1531,27,24685,2177,6447,10581,1142,4338,4513,2821,5300,3377,873,4061,1456,388,2832,1900,8797,4587,1828,1557,1261,16800,19000,15000,1581,1883,8797,4587,1828,1557,1261,17900,19000,15500,1451,2321,4673,3077,5186,1131,1143,3772,35,694,1623,3500,2087,2176,861,1539,3471,4472,2137,229,1883,2050,7324,7332,2669,1531,17638,3456,5409,4426,2798,1228,321,2.7,2790,5128,2843,155,737,2201,3456,328,2004,1853,3660,3076,2139,2386,2520,23800,643,440,2585,2898,2049,2337,2459,30240,10880,-,6704,89,132,10813,-,6671,22,132,29752,-,17152,334,236,2421,4413,6955,2915,831,83,20,1899,3086,12192,18,410,33,143,48,83,166,178,1002,279,13000,21,3612,7258,220,1153,2080,11.7,33,196,1509,1518,174,2300,39366,1417
759,759,759,124439,56847,67592,841,12920,8688,37207,36454,29170,46.7,46,47.2,79101,37219,8119,117447,2716,2393,150,1733,15943,30835,1484,1807,110,16059,34156,6659,4239,227,110278,3634,1793,3760,1472,92.3,67.3,90.1,64.5,5070,19376,19009,31173,6330,5714,24847,9252,1019,4414,1834,267,63386,32033,31353,56.8,63.8,51.1,59201,53553,1733,3831,84,65238,7243,16413,27112,2867,11603,8527,8341,14831,8643,2086,10243,5637,893,8088,3408,21873,11654,5155,4408,4531,17500,20000,15000,3253,3311,21864,11654,5155,4408,4531,18500,20000,17000,5342,6647,11287,8499,10261,3846,2650,10595,74,2013,4988,9168,5437,4018,2580,3660,9559,10740,6802,236,3950,4934,20560,19568,6387,3802,43409,6302,12988,11946,7613,3532,1028,2.8,6992,15300,6463,474,1762,5337,6302,779,4315,3813,8687,6740,5237,6240,8377,26650,911,1024,6498,6455,5161,6093,8160,34090,17272,10448,15493,220,283,17272,10382,15468,4,283,46254,28208,47932,1044,1001,5221,6244,18163,7923,3570,2286,2,6220,14286,21841,44,941,77,712,540,422,501,635,1976,1434,12000,20.4,7986,9720,558,3698,2250,13.1,36,1261,2617,4180,604,6753,100615,4937
811L,"811 - 815, 822 and 825","811 - 815, 822 及 825",13707,6200,7507,826,1825,918,4372,4703,1889,44,45.2,43,8114,1340,4253,8967,1096,428,2045,1171,1509,3382,91,137,25,1776,4061,522,293,86,8368,85,94,3719,782,68.4,83.4,66.3,81.5,316,1070,1732,3825,842,583,3514,463,169,330,826,9,8239,3742,4497,69.3,72.7,66.7,7910,6464,644,765,37,5797,776,2115,1602,257,1047,760,833,2050,1185,72,1050,1917,43,1649,417,1920,1145,638,948,1156,19000,25000,14000,227,230,1912,1145,638,948,1156,25000,25000,20000,1482,1056,1304,586,904,227,317,1979,55,200,460,1048,461,498,179,397,1317,1380,1877,93,325,604,2911,2310,1008,752,4695,923,1272,1008,769,476,247,2.9,1031,1504,332,63,120,405,923,317,378,251,600,503,598,785,1580,40040,119,105,441,470,490,773,1561,47830,-,-,4618,13,66,-,-,4618,11,66,-,-,13342,187,178,-,404,1524,1279,616,872,-,550,1606,2130,-,378,31,48,19,18,19,95,262,89,12500,31.8,36,145,396,1584,15600,29.9,64,440,746,1059,107,1315,8106,1275
820L,"820, 823 - 824 and 829","820, 823 - 824 及 829",14734,6348,8386,757,1636,901,4598,5285,2314,45.8,47.3,44.7,9493,2086,3155,11062,1243,565,1227,637,1506,3641,100,257,9,1951,4706,492,413,23,10383,272,433,2798,588,78.8,84.6,75.9,81.9,275,1234,1753,4272,1087,541,3936,461,220,700,644,-,8545,3755,4790,65.2,68.1,63.2,8070,6680,777,575,38,6664,668,2176,2385,228,1207,526,1287,2298,672,131,1019,1810,327,1741,556,1438,1607,816,629,1245,20000,25000,13000,235,370,1438,1607,816,629,1245,25000,26000,23000,1245,1168,1467,886,759,296,251,1995,3,209,630,1181,330,288,375,524,1126,1459,1941,7,712,721,2973,2184,932,548,4794,877,1385,801,754,602,375,3,1216,1308,382,22,187,596,877,206,453,315,580,619,441,451,1935,38770,107,95,423,597,424,441,1803,51090,-,-,4770,38,29,-,-,4765,-,29,-,-,14568,50,116,75,546,1243,1386,578,966,-,1215,1938,1350,-,243,48,193,8,37,44,73,397,463,18830,28.7,138,33,279,948,12000,32.7,65,924,520,449,105,1028,10244,1207
821L,821 and 826 - 828,821 及 826 - 828,13605,6422,7183,894,1227,1185,3959,5022,2212,47.1,48.8,45.9,10222,1444,1939,11558,534,239,502,772,2008,3527,97,196,24,1970,3705,421,333,97,10967,172,74,1594,383,83.4,76.5,80.5,74.7,921,1629,1819,3403,943,475,3188,573,286,366,569,-,8081,4098,3983,65.3,70,61,7504,6599,373,485,47,6101,629,1814,2162,100,1396,1066,913,2033,1046,103,1409,894,40,1043,459,2437,1321,893,418,886,18800,20000,17000,484,400,2437,1321,893,418,886,20000,20000,20000,1147,740,1454,1108,938,374,443,1242,58,156,642,1345,696,563,152,453,1148,1313,973,63,557,1126,2354,2155,736,576,4996,886,1655,1128,887,308,132,2.7,973,1622,442,67,57,744,886,205,485,327,694,753,723,701,1313,30620,175,112,571,715,704,687,1261,35470,487,580,3893,29,10,487,580,3890,29,10,1358,1444,10713,50,40,248,433,1945,1642,551,177,-,702,2128,1737,-,332,97,55,47,129,51,21,280,119,11650,22.4,383,258,319,874,9000,21.5,45,552,679,862,180,858,9453,617
831L,831 - 832 and 834,831 - 832 及 834,29298,13519,15779,857,4475,3491,9190,9190,2952,40.7,39.9,41.1,18713,3984,6601,21781,2735,857,2122,1803,3447,7046,280,313,69,3629,8910,445,592,92,19839,1174,147,5455,1254,77.3,86.7,75.6,84.9,393,1497,3517,7404,1151,1280,9581,2053,846,1803,1406,-,16908,7567,9341,68.1,67.8,68.3,16181,14186,804,1111,80,13117,1210,5580,2792,552,2983,1469,3085,3651,1353,490,1982,3932,219,3696,715,3302,2214,1893,1574,2707,20000,30000,12250,591,393,3288,2214,1893,1574,2707,26810,30000,25000,2599,2325,2831,1660,1855,396,564,3895,56,392,812,2159,817,432,509,1371,2168,3471,3937,113,1330,1452,5476,4935,1707,1281,8612,1119,2165,1982,1662,1002,682,3.2,1759,3799,679,61,179,738,1119,278,648,303,745,856,1139,1270,3651,47850,143,134,585,833,1139,1247,3521,55170,-,-,8359,765,196,-,-,8366,50,196,-,-,26799,1684,815,40,784,2292,2135,1572,1777,12,1372,2596,3081,-,519,1044,88,10,87,54,203,198,732,20000,27.2,453,516,625,2531,12000,21,66,1656,1907,2435,382,2131,16425,2938
833,833,833,63790,28650,35140,815,7193,6090,18904,22156,9447,44.7,44.4,44.8,36477,23785,3528,60027,1404,931,66,1362,7787,15735,412,1078,126,8901,17525,2334,2560,139,55503,1457,2180,1849,986,93.2,72.2,91.6,69.6,1570,7391,8839,15698,3441,3836,15822,4575,1707,2623,805,290,35509,16769,18740,62.7,66.7,59.6,32953,30125,682,2120,26,30837,3421,9810,10014,1269,6323,3724,8144,10000,2406,601,4905,2781,392,4303,2167,10843,5653,3007,3227,3727,18000,20000,15500,2008,2143,10843,5653,3007,3227,3727,20000,20000,18000,3831,4246,6220,4269,5956,1835,963,5597,36,825,3018,4920,2089,2751,1370,3242,5168,5979,3445,146,2238,2571,11341,11700,3335,1768,22533,4603,5597,5340,4399,1957,637,2.8,3265,7959,2916,157,739,2554,4603,340,2090,1885,3422,2732,2365,4038,6001,34700,481,504,2727,2563,2263,3877,5870,41990,11530,2098,8957,-,2,11526,2098,8907,-,2,31704,6259,25825,-,2,2454,2828,9703,4900,1839,809,-,4985,3762,13345,38,351,52,566,146,371,345,410,2257,890,13500,18.9,3795,7761,55,1824,2820,12.9,43,1212,2010,1097,246,3171,52310,1970
835,835,835,22205,10528,11677,902,1399,1465,6442,7005,5894,54.9,53.5,55.4,14186,7083,936,21591,155,271,14,174,2847,6197,356,335,51,2925,6196,1172,693,34,20799,165,361,245,61,94,60.3,91.9,57.6,1265,4007,4550,5448,1239,1039,3258,1176,157,399,208,65,11683,5762,5921,56.2,58.9,53.7,10780,9439,327,1003,11,11425,1107,1871,5474,458,2515,1534,1962,3818,716,269,1875,501,105,1061,1052,4599,2090,981,768,218,16000,18000,15000,652,1052,4599,2090,981,768,218,16500,18000,15000,859,848,1831,1737,2532,767,657,1520,29,254,945,1882,1124,925,323,526,2058,1843,839,61,760,1007,3693,3558,1034,728,7718,1038,2322,2296,1422,472,168,2.8,1581,2566,862,152,415,1039,1038,65,1011,628,1468,1332,954,1359,966,26070,195,150,1295,1293,945,1359,966,30540,921,5749,1055,78,-,921,5742,1055,-,-,2876,15724,3113,492,-,137,808,3966,1865,855,87,-,1097,5272,1104,-,230,15,118,267,262,71,85,197,97,5500,17.5,789,177,92,61,1760,9.2,37,93,487,103,88,475,19839,565
836,836,836,84616,38966,45650,854,9002,5473,24869,29456,15816,47.4,47.1,47.7,57324,22749,4543,80644,1474,1498,207,793,9596,22535,950,1048,99,10398,24613,3674,2553,148,76102,1335,1717,1881,830,93.6,71.2,91.2,68,2843,11028,12650,22060,5018,3524,18491,6104,1389,2432,702,338,46725,23485,23240,61.8,68.6,56.2,44238,40450,818,2812,158,40378,4121,11012,15715,1540,7990,5257,10328,13204,3202,1429,7164,3223,431,5146,2550,14557,8855,4878,4933,3161,19500,21000,16000,2444,2530,14557,8855,4878,4933,3161,20000,21000,18000,4359,5534,9048,6755,8020,2393,1788,6278,63,1563,3706,6870,2950,2598,2545,3124,7408,8828,4362,284,3247,3470,15087,14806,4777,2851,30332,5237,8691,8282,5422,2034,666,2.8,5736,11185,3001,559,1150,2999,5237,465,3019,2536,4478,3902,4012,5225,7160,32780,772,811,3415,3694,3894,5167,7099,39110,3224,14016,13071,83,17,3224,13994,13095,2,17,6655,39379,37799,766,17,1662,2802,13507,8429,3475,457,-,7640,15994,5578,48,598,474,743,977,503,816,834,2890,877,10010,20,3177,634,105,2184,1840,14.9,41,883,1773,1057,313,4734,70871,2321
837,837,837,76941,35561,41380,859,7415,6098,20595,27772,15061,48.5,48.3,48.7,52005,20326,4610,72463,1610,1492,131,1245,9369,20468,616,1021,146,9776,22406,3497,2055,172,69183,1040,1552,1991,805,93,73.3,90.7,70.4,2845,8449,11156,20444,4415,3863,18354,5044,1524,2759,627,478,42248,20942,21306,60.8,66.2,56.2,39933,36715,651,2489,78,37008,3812,10025,15037,1361,6773,4294,9704,11740,2362,1962,5857,3476,538,5717,2054,12521,7910,4152,4108,3393,19000,21000,16000,2628,2054,12521,7910,4152,4108,3393,20000,21000,18500,3669,4947,9363,5788,6711,2024,1599,5809,23,1295,3348,5249,3063,2501,1913,3238,6786,7905,4416,219,2727,2738,14380,13248,4370,2470,26235,3498,7392,7215,5320,2177,633,2.9,4890,10158,2528,443,1239,2983,3498,496,2525,1722,3466,3623,3209,5007,6683,34620,641,417,2604,3472,3166,4952,6595,41590,5760,9509,11032,35,-,5735,9493,11005,2,-,17049,27628,31807,457,-,543,1489,12643,7948,3032,580,-,5044,12572,7770,-,775,74,495,207,589,493,387,2350,523,12000,18.6,901,4955,28,1960,3010,14.5,46,1111,1801,822,334,3399,64789,2364
838,838,838,122150,55511,66639,833,14880,10132,38661,41132,17345,43.8,43.8,43.8,78303,33646,10201,113214,3600,2767,467,2102,13254,32030,701,1505,141,15217,36213,4672,3338,199,104671,2685,3433,5000,1982,91.9,76.3,90.2,73.7,3237,10510,16025,31495,7049,5932,33022,10175,2834,4273,1270,555,70942,34192,36750,66.1,71.8,61.6,66953,60914,1991,3939,109,55197,6063,18447,17963,2509,10215,6201,18011,19848,4546,1856,8518,7063,910,8971,3039,18021,13811,7240,8010,7752,20000,24000,17000,2947,2934,18021,13811,7240,8010,7752,22000,24000,20000,8767,9173,14409,9627,9338,3289,2242,10012,96,2419,4983,9948,4696,3963,3053,7220,10213,12057,8041,360,4092,5072,24237,23188,5987,4377,41757,6088,11895,10407,8501,3554,1312,2.9,8207,15811,4080,870,1882,3834,6088,985,3360,2657,4463,5263,4593,8345,13076,40170,710,791,3633,5051,4463,8230,12988,46070,7451,14975,19270,194,-,7451,14929,19270,107,-,22395,44431,54864,460,-,1491,3856,16582,12934,4932,1962,-,14533,13912,12540,-,692,80,1631,819,1199,1246,752,5794,3092,13400,21.5,1922,5653,232,4813,3560,18,47,4796,7338,2824,1073,12031,84247,5530
839,839,839,47991,21389,26602,804,7277,3991,19110,13270,4343,38.4,38.6,38.3,33207,8048,6736,41140,2673,1059,567,2552,4905,12519,227,246,83,5693,15050,896,1010,85,37611,1240,762,3970,1628,87.9,89.9,86.2,88.3,495,1698,3159,10310,3173,2683,19196,2825,2075,2344,404,364,28723,13693,15030,70.5,76.2,66.1,27604,24392,1139,1952,121,20387,1808,8104,5034,1100,4341,1233,9318,7968,1436,752,2605,3943,349,4114,593,4325,4459,3930,5009,5053,30000,35000,21250,817,509,4325,4459,3930,5009,5053,32000,35000,30000,4880,5800,7214,2716,2120,544,352,3969,9,716,1360,3136,1227,790,1472,4193,4564,5916,4046,184,1748,1651,11632,8517,2727,1329,16099,2646,4339,3470,3130,1784,730,3,3141,6968,922,192,605,1159,2646,466,959,297,887,1245,1473,3249,7989,59070,277,48,561,1068,1442,3191,7952,65090,-,-,16094,1,-,-,-,16099,-,-,-,-,47906,85,-,30,1170,3235,4494,4070,3100,-,8183,1636,5475,12,372,421,1045,203,176,77,255,3548,2879,17540,23.2,369,79,35,5425,17000,27.6,63,5341,4990,2433,767,10600,17463,3633
911L,"911 - 913, 931 - 934 and 941 - 944","911 - 913, 931 - 934 及 941 - 944",16801,7784,9017,863,1836,1445,4950,5903,2667,45.7,47.1,44.9,9068,2253,5480,10091,2233,465,2833,1179,2203,4201,51,453,116,2291,4361,592,503,194,9657,283,216,4398,1746,65.1,82.6,62.7,81.2,802,1551,1914,4414,1068,792,4424,729,641,232,670,2,8939,4197,4742,59.7,59.8,59.7,8281,7152,290,763,76,8520,922,2210,2752,129,2507,1583,2451,1099,431,169,1109,1432,7,1236,601,2342,1176,679,1032,1139,19000,20000,15000,344,452,2342,1176,679,1032,1139,20000,20000,20000,1209,1325,1460,918,1057,379,358,1534,41,156,460,935,586,854,443,607,1397,1376,1375,92,626,899,3242,2202,925,387,6846,2169,2390,947,818,377,145,2.3,1508,1563,464,25,42,588,2169,487,1173,699,1007,651,720,817,1779,26630,291,220,792,587,715,766,1732,38680,445,135,5780,102,514,445,135,5743,9,514,1117,221,13600,850,1013,436,1367,2301,1937,429,376,-,541,2244,3667,-,325,69,91,18,93,46,31,128,134,13800,20.5,488,887,849,1512,7500,22.8,55,777,542,1531,148,1534,10503,1265
920,920,920,19769,9348,10421,897,1703,1570,5443,6603,4450,49.9,50.2,49.4,15966,2431,1372,18325,258,415,303,468,2985,5109,162,310,-,2785,5240,1008,460,7,18232,59,118,554,248,86.4,62.3,83.7,60.2,2199,3404,3199,5553,777,660,2274,1313,422,167,398,-,11271,6062,5209,62.4,70.8,54.8,10653,9266,504,722,161,9116,1071,2074,3936,284,1751,2709,3239,1228,449,41,2124,779,84,1478,819,4331,2158,987,577,142,15000,15500,14000,927,806,4331,2158,987,577,142,15500,15500,15500,377,570,2035,1720,2338,965,308,2215,125,183,1105,1579,788,1052,208,886,1825,1861,877,289,1043,1436,2973,3110,1244,847,7538,1875,2069,1758,1366,308,162,2.6,1578,2295,611,62,152,865,1875,100,826,703,1835,1301,813,1229,831,22490,157,125,1661,1256,801,1202,831,28260,827,-,6696,46,25,827,-,6671,15,25,2739,-,16769,211,50,673,1888,3067,1664,208,38,-,367,4296,2316,-,532,27,37,29,103,65,14,108,11,6150,17.8,973,669,668,33,3360,16.5,35,303,424,426,83,951,16583,453
950L,950 - 951,950 - 951,116029,53623,62406,859,15733,11465,38017,35078,15736,40.8,40.6,40.9,60714,38585,16730,96592,4448,1213,1954,11822,13837,28781,735,1873,308,15426,30927,3713,4403,293,85921,4969,3749,9334,7469,86.1,76,84.1,72.7,2374,10364,17618,31487,5931,6698,25824,9910,2048,3665,3181,1357,62399,31309,31090,62.2,68.8,56.8,57021,52019,1118,3730,154,59008,7252,19815,15755,3080,13106,5043,9717,9594,6587,11917,8256,5260,647,6693,3486,22064,11277,4254,4454,4639,17500,20000,15000,3198,3277,22064,11277,4254,4454,4639,18000,20000,16000,5440,5847,10599,7789,12618,2877,2217,9512,122,1448,4540,7930,8463,5434,1984,4480,9404,7647,5353,338,4614,5127,18654,19773,5593,3260,40054,7029,10373,10072,8052,3409,1119,2.9,6241,14530,5229,373,1280,4532,7029,840,3875,2058,7937,6860,4804,6292,8228,28580,997,811,6443,6562,4759,6204,8102,33340,20632,3191,16264,33,130,20597,3191,16120,16,130,63982,8510,42825,454,258,3076,5616,15690,10771,3615,1276,10,7055,5809,26492,8,607,83,814,176,415,654,680,3004,1312,13000,22.2,5348,15484,400,5351,2610,12.6,45,3967,8812,14590,2902,6053,68287,6837
961L,961 - 963 and 976,961 - 963 及 976,13331,6435,6896,933,1261,998,4177,4594,2301,46,46.8,44.9,9019,2306,2006,10989,659,158,908,617,1919,3357,79,345,40,1679,3501,638,396,116,10571,173,73,1591,544,81.3,75.4,78.8,72.4,802,1477,1947,3863,572,553,2856,416,695,225,381,-,7204,3666,3538,59.7,63.9,55.9,6808,5768,192,786,62,6523,834,1639,2034,325,1691,1704,1915,836,550,115,983,658,47,903,376,2618,1571,415,441,422,17000,20000,14500,544,317,2618,1571,415,441,422,18000,20000,15500,617,653,1467,881,1306,435,167,1226,56,103,524,1174,426,383,292,411,1337,1309,749,100,454,702,2721,2096,568,267,5508,1671,1918,1017,560,293,49,2.3,1267,1193,418,49,132,520,1671,258,807,339,1119,1127,601,807,708,22890,212,174,848,1112,590,788,693,27100,668,688,3968,47,174,668,688,3943,35,174,1897,1523,8727,689,495,313,1607,2461,734,266,127,-,778,2055,2333,26,275,41,120,91,110,229,48,133,47,7000,19.9,598,624,582,596,5700,21.9,37,736,825,1233,91,1042,8323,702
